column,parent,theme,subtheme,polarity,phrase
Free_Text_1,Perception,Hearing Meaning,Independence & Alertness,Positive,staying independent
Free_Text_1,Perception,Hearing Meaning,Independence & Alertness,Positive,staying independent and alert
Free_Text_1,Perception,Hearing Meaning,Independence & Alertness,Positive,independent and alert
Free_Text_1,Perception,Hearing Meaning,Independence & Alertness,Positive,stay alert
Free_Text_1,Perception,Hearing Meaning,Independence & Alertness,Positive,stay independent
Free_Text_1,Perception,Hearing Meaning,Connection & Engagement,Positive,staying connected with the world
Free_Text_1,Perception,Hearing Meaning,Connection & Engagement,Positive,staying connected
Free_Text_1,Perception,Hearing Meaning,Connection & Engagement,Positive,feeling connected
Free_Text_1,Perception,Hearing Meaning,Connection & Engagement,Positive,connected with the world
Free_Text_1,Perception,Hearing Meaning,Connection & Engagement,Positive,part of conversations
Free_Text_1,Perception,Hearing Meaning,Enjoyment & Quality of Life,Positive,enjoying music
Free_Text_1,Perception,Hearing Meaning,Enjoyment & Quality of Life,Positive,"enjoying music, laughter, and life"
Free_Text_1,Perception,Hearing Meaning,Enjoyment & Quality of Life,Positive,enjoyment of sounds
Free_Text_1,Perception,Hearing Meaning,Enjoyment & Quality of Life,Positive,quality of life
Free_Text_1,Perception,Hearing Meaning,Enjoyment & Quality of Life,Positive,enjoying life
Free_Text_1,Perception,Hearing Meaning,Not Considered,Neutral,i haven?t thought about it much
Free_Text_1,Perception,Hearing Meaning,Not Considered,Neutral,i haven't thought about it much
Free_Text_1,Perception,Hearing Meaning,Not Considered,Neutral,not really thought about it
Free_Text_1,Perception,Hearing Meaning,Not Considered,Neutral,not considered
Free_Text_1,Perception,Hearing Meaning,Not Considered,Neutral,unsure
Free_Text_2,Barriers,Testing Barriers,Cost,Negative,cost
Free_Text_2,Barriers,Testing Barriers,Cost,Negative,too expensive
Free_Text_2,Barriers,Testing Barriers,Cost,Negative,cannot afford
Free_Text_2,Barriers,Testing Barriers,Cost,Negative,cost is a barrier
Free_Text_2,Barriers,Testing Barriers,Cost,Negative,price
Free_Text_2,Barriers,Testing Barriers,Shame or Embarrassment,Negative,shame
Free_Text_2,Barriers,Testing Barriers,Shame or Embarrassment,Negative,embarrassed
Free_Text_2,Barriers,Testing Barriers,Shame or Embarrassment,Negative,stigma
Free_Text_2,Barriers,Testing Barriers,Shame or Embarrassment,Negative,don?t want people to know
Free_Text_2,Barriers,Testing Barriers,Shame or Embarrassment,Negative,dont want people to know
Free_Text_2,Barriers,Testing Barriers,Lack of Awareness,Negative,lack of awareness
Free_Text_2,Barriers,Testing Barriers,Lack of Awareness,Negative,not aware
Free_Text_2,Barriers,Testing Barriers,Lack of Awareness,Negative,didn?t know
Free_Text_2,Barriers,Testing Barriers,Lack of Awareness,Negative,didnt know
Free_Text_2,Barriers,Testing Barriers,Lack of Awareness,Negative,not enough information
Free_Text_2,Barriers,Testing Barriers,Time or Access,Negative,no time
Free_Text_2,Barriers,Testing Barriers,Time or Access,Negative,hard to access
Free_Text_2,Barriers,Testing Barriers,Time or Access,Negative,difficult to book
Free_Text_2,Barriers,Testing Barriers,Time or Access,Negative,inconvenient
Free_Text_2,Barriers,Testing Barriers,Time or Access,Negative,access issues
Free_Text_2,Barriers,Testing Barriers,No Need,Neutral,never felt the need
Free_Text_2,Barriers,Testing Barriers,No Need,Neutral,no need
Free_Text_2,Barriers,Testing Barriers,No Need,Neutral,don?t need a test
Free_Text_2,Barriers,Testing Barriers,No Need,Neutral,dont need a test
Free_Text_2,Barriers,Testing Barriers,No Need,Neutral,not necessary
Free_Text_3,Impact,Missed Sounds,Family Conversations,Negative,family conversations
Free_Text_3,Impact,Missed Sounds,Family Conversations,Negative,family discussions
Free_Text_3,Impact,Missed Sounds,Family Conversations,Negative,talking with family
Free_Text_3,Impact,Missed Sounds,Family Conversations,Negative,family gatherings
Free_Text_3,Impact,Missed Sounds,Family Conversations,Negative,conversations at home
Free_Text_3,Impact,Missed Sounds,Work or School Meetings,Negative,important work meetings
Free_Text_3,Impact,Missed Sounds,Work or School Meetings,Negative,school meetings
Free_Text_3,Impact,Missed Sounds,Work or School Meetings,Negative,work or school meetings
Free_Text_3,Impact,Missed Sounds,Work or School Meetings,Negative,meetings at work
Free_Text_3,Impact,Missed Sounds,Work or School Meetings,Negative,important meetings
Free_Text_3,Impact,Missed Sounds,Public Announcements,Negative,public spaces
Free_Text_3,Impact,Missed Sounds,Public Announcements,Negative,"trains, shops, announcements"
Free_Text_3,Impact,Missed Sounds,Public Announcements,Negative,public announcements
Free_Text_3,Impact,Missed Sounds,Public Announcements,Negative,announcements
Free_Text_3,Impact,Missed Sounds,Public Announcements,Negative,in public spaces
Free_Text_3,Impact,Missed Sounds,Safety Alerts,Negative,alarms
Free_Text_3,Impact,Missed Sounds,Safety Alerts,Negative,warning sounds
Free_Text_3,Impact,Missed Sounds,Safety Alerts,Negative,safety alerts
Free_Text_3,Impact,Missed Sounds,Safety Alerts,Negative,emergency sounds
Free_Text_3,Impact,Missed Sounds,Safety Alerts,Negative,sirens
Free_Text_3,Impact,Missed Sounds,Not Missed,Neutral,no
