column,parent,theme,subtheme,polarity,phrase
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,lack of clear career progression causing frustration and demotivation
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,no structured training programme affects my ability to advance
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,poor support from my line manager in career development opportunities
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,inadequate feedback during appraisals leaves me feeling undervalued
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,too much emphasis on short-term tasks hinders my long-term growth
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,limited opportunities for promotion within my pay band is discouraging
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,unclear expectations for the capability process make it stressful to progress
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,the absence of a mentoring system creates barriers to advancement
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,no clarity on potential pay grade transitions causes anxiety
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,continual changes in company structure impact my career path negatively
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,overtime demands leave little time for personal development initiatives
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,too many employees vying for the same advancement opportunities creates tension
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,poor communication about training options leaves me feeling unsupported
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,my current shift pattern limits my ability to pursue further qualifications
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,the lack of a clear induction process made my early career confusing
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,absence of career guidance during probation has hindered my ambitions
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,feeling stuck in a role with no defined progression makes me unhappy
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,limited bank holiday allowances reduce my work-life balance
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,frequent restructuring affects my confidence in job security and progression
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,too much focus on cost-cutting impacts training budgets for staff
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,feeling overlooked during appraisal discussions demotivates my performance
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,lack of promotional pathways leads to a stagnant career
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,no visibility on future roles makes me feel insecure
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,inconsistent criteria for promotions creates confusion and stress
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,poor communication about job openings limits my chances to apply
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,insufficient investment in professional development leaves me feeling unprepared
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,too few opportunities for cross-training restrict my skill enhancement
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,absence of career coaching leads to uncertainty about my future
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,lack of recognition for my contributions dampens my motivation
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,no clear succession planning means i'm unsure of my future role
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,constant organisational changes disrupt my career momentum
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,insufficient leadership opportunities stifles my ambition
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,too much bureaucracy slows down advancement processes
Wellbeing_Details,"Leadership, Culture & People Experience",Career Development & Training,Career Progression,Negative,poor alignment between my goals and company objectives causes frustration
